variant,finding_type,feature,family,d,F,n_malignant,n_benign,abs_d,rank
clahe,calcification,original_shape2D_Elongation,shape2D,-0.18931302775765807,12.63624781378316,544,1002,0.18931302775765807,53
clahe,calcification,original_shape2D_MajorAxisLength,shape2D,0.5610130562299356,110.96935678142414,544,1002,0.5610130562299356,20
clahe,calcification,original_shape2D_MaximumDiameter,shape2D,0.6209476887665755,135.94622783403167,544,1002,0.6209476887665755,14
clahe,calcification,original_shape2D_MeshSurface,shape2D,0.6050870036839223,129.09005379665933,544,1002,0.6050870036839223,17
clahe,calcification,original_shape2D_MinorAxisLength,shape2D,0.8170573380796649,235.37601251546087,544,1002,0.8170573380796649,1
clahe,calcification,original_shape2D_Perimeter,shape2D,0.708520979873246,176.99563692486535,544,1002,0.708520979873246,5
clahe,calcification,original_shape2D_PerimeterSurfaceRatio,shape2D,-0.5977105246090882,125.96182309973163,544,1002,0.5977105246090882,18
clahe,calcification,original_shape2D_PixelSurface,shape2D,0.6050870555850855,129.0900759419845,544,1002,0.6050870555850855,16
clahe,calcification,original_shape2D_Sphericity,shape2D,-0.169379779834245,10.115334752240555,544,1002,0.169379779834245,56
clahe,calcification,original_firstorder_10Percentile,firstorder,0.0338047524236606,0.4029142717301575,544,1002,0.0338047524236606,63
clahe,calcification,original_firstorder_90Percentile,firstorder,0.3469336589131116,42.43752079568684,544,1002,0.3469336589131116,35
clahe,calcification,original_firstorder_Energy,firstorder,0.637583055653566,143.3278760519177,544,1002,0.637583055653566,11
clahe,calcification,original_firstorder_Entropy,firstorder,0.30070668897144925,31.88183494751579,544,1002,0.30070668897144925,45
clahe,calcification,original_firstorder_InterquartileRange,firstorder,0.3290312835891151,38.170822225611225,544,1002,0.3290312835891151,38
clahe,calcification,original_firstorder_Kurtosis,firstorder,-0.32178309650246667,36.50762532658812,544,1002,0.32178309650246667,39
clahe,calcification,original_firstorder_Maximum,firstorder,0.32047530919344847,36.21148057033084,544,1002,0.32047530919344847,40
clahe,calcification,original_firstorder_MeanAbsoluteDeviation,firstorder,0.3195632320232823,36.00565712506504,544,1002,0.3195632320232823,42
clahe,calcification,original_firstorder_Mean,firstorder,0.23735983136513394,19.864222959300292,544,1002,0.23735983136513394,51
clahe,calcification,original_firstorder_Median,firstorder,0.2735832173130468,26.38979622110477,544,1002,0.2735832173130468,48
clahe,calcification,original_firstorder_Minimum,firstorder,-0.17322231981994676,10.57949243933798,544,1002,0.17322231981994676,55
clahe,calcification,original_firstorder_Range,firstorder,0.3339884242003945,39.32963909118055,544,1002,0.3339884242003945,37
clahe,calcification,original_firstorder_RobustMeanAbsoluteDeviation,firstorder,0.31434576700208783,34.839536182729475,544,1002,0.31434576700208783,43
clahe,calcification,original_firstorder_RootMeanSquared,firstorder,0.2670280229996568,25.140320640684504,544,1002,0.2670280229996568,49
clahe,calcification,original_firstorder_Skewness,firstorder,-0.5100557649642297,91.72599951109677,544,1002,0.5100557649642297,25
clahe,calcification,original_firstorder_TotalEnergy,firstorder,0.637583055653566,143.3278760519177,544,1002,0.637583055653566,12
clahe,calcification,original_firstorder_Uniformity,firstorder,-0.18510114763332564,12.080234211084866,544,1002,0.18510114763332564,54
clahe,calcification,original_firstorder_Variance,firstorder,0.3347777593223307,39.51575901399473,544,1002,0.3347777593223307,36
clahe,calcification,original_glcm_Autocorrelation,glcm,0.3979896525978377,55.84710865170827,544,1002,0.3979896525978377,34
clahe,calcification,original_glcm_ClusterProminence,glcm,-0.13241699164641318,6.18222156445379,544,1002,0.13241699164641318,57
clahe,calcification,original_glcm_ClusterShade,glcm,-0.4767708239753914,80.14500740663708,544,1002,0.4767708239753914,27
clahe,calcification,original_glcm_ClusterTendency,glcm,0.045233278338721344,0.721395221930456,544,1002,0.045233278338721344,61
clahe,calcification,original_glcm_Contrast,glcm,-0.5231732142828179,96.50462620738158,544,1002,0.5231732142828179,23
clahe,calcification,original_glcm_Correlation,glcm,0.4417514903795837,68.80391940364309,544,1002,0.4417514903795837,30
